Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C3, C4, C5, C6, C7, C8",0603,8,0.1u,
"J1, J2, J3, J4, J5, J6, J7, J8",JST_XA_S02B-XASK-1_1x02_P2.50mm_Horizontal,8,Conn_01x02_Female,
"R17, R18, R19, R20, R21, R22, R23, R24",0603,8,0,
U1,MODULE_NUCLEO-G431,1,NUCLEO-G431KB,
